query_id,point_id
0,83
0,266
0,377
0,727
0,950
0,1100
0,1196
0,1287
0,1509
0,2154
0,2730
0,4263
0,4272
0,4697
0,4816
0,5372
0,5806
0,6752
0,6876
0,6962
0,7780
0,8273
0,9114
0,10072
0,10087
0,10720
0,10857
0,10951
0,11609
0,11837
0,11974
0,12286
0,12578
0,12862
0,13356
0,13795
0,14071
0,14205
0,14334
0,14654
0,15522
0,16056
0,16729
0,17709
0,18521
0,18687
0,18688
0,19425
0,19443
0,20252
0,20260
0,20420
0,20668
0,20934
0,20999
0,21070
0,21761
0,21827
0,21845
0,22176
0,22292
0,22393
0,23577
0,23747
0,25148
0,25499
0,26343
0,27253
0,27265
0,27284
0,27287
0,27594
0,28128
0,28663
0,29460
0,29575
0,30008
0,30072
0,30178
0,31018
0,31083
0,31240
0,31343
0,31485
0,31693
0,31790
0,33846
0,33930
0,34833
0,35902
0,36479
0,36775
0,36925
0,36953
0,37046
0,37521
0,39381
0,39410
0,39441
0,39539
0,39652
0,39802
0,39962
0,40952
0,41103
0,41411
0,41682
0,41861
0,41946
0,42048
0,42052
0,42122
0,42473
0,42536
0,42588
0,44505
0,45421
0,45488
0,45944
0,45972
0,45990
0,46140
0,46959
0,47019
0,47847
0,47960
0,48763
0,49804
1,1088
1,16711
1,18286
1,32220
1,43510
2,545
2,1166
2,1197
2,1321
2,1639
2,2085
2,2823
2,3152
2,3154
2,3269
2,3355
2,3506
2,3642
2,4130
2,5706
2,7260
2,8642
2,9012
2,9350
2,9821
2,9856
2,10027
2,11997
2,12339
2,13170
2,13447
2,14055
2,15596
2,16854
2,17449
2,17486
2,17852
2,18042
2,18876
2,19038
2,19554
2,20419
2,20448
2,21529
2,22076
2,23620
2,23700
2,23868
2,24726
2,25949
2,26703
2,27122
2,27813
2,27834
2,27873
2,28384
2,28595
2,29318
2,29361
2,29411
2,29542
2,29760
2,30064
2,30348
2,30402
2,31125
2,31726
2,31994
2,32753
2,33033
2,33051
2,33239
2,33519
2,33655
2,34119
2,34394
2,34991
2,35768
2,35769
2,36781
2,37313
2,38983
2,39433
2,40155
2,41029
2,41247
2,41311
2,41863
2,42316
2,42458
2,42673
2,42713
2,42919
2,43576
2,43661
2,44595
2,44650
2,44803
2,44859
2,45144
2,45451
2,45575
2,47238
2,47627
2,48871
2,49054
2,49809
3,1079
3,1369
3,1872
3,2128
3,2354
3,2850
3,3296
3,3523
3,4302
3,4767
3,4824
3,4966
3,5106
3,5168
3,5366
3,5419
3,5602
3,6251
3,6434
3,7149
3,7172
3,7335
3,7418
3,8191
3,8891
3,8895
3,10412
3,11144
3,11821
3,12445
3,12654
3,14132
3,14308
3,14373
3,14461
3,14492
3,14955
3,15328
3,15384
3,16744
3,17651
3,18651
3,19632
3,19779
3,19914
3,20145
3,20412
3,20493
3,20741
3,21257
3,21350
3,22423
3,22500
3,23066
3,23682
3,24008
3,24362
3,24452
3,24866
3,24891
3,24941
3,25374
3,25804
3,26496
3,26658
3,27426
3,28111
3,28636
3,28889
3,30532
3,31378
3,31887
3,32100
3,32131
3,32310
3,32446
3,32649
3,32757
3,33635
3,34875
3,35075
3,35349
3,35738
3,35763
3,35868
3,36182
3,36236
3,36237
3,36511
3,37080
3,37224
3,37559
3,37724
3,37781
3,38550
3,38651
3,38936
3,39129
3,39329
3,39630
3,39811
3,39820
3,40248
3,40512
3,42246
3,42294
3,42613
3,43026
3,43361
3,44427
3,44456
3,45104
3,46129
3,46500
3,47111
3,48107
3,48941
3,49042
3,49806
3,49886
4,5
4,1884
4,4679
4,8264
4,8387
4,8564
4,13007
4,15388
4,15844
4,17392
4,20612
4,21685
4,22043
4,25001
4,25668
4,26248
4,26322
4,29372
4,34896
4,36855
4,37144
4,37544
4,40355
4,41324
4,42509
4,42927
4,43401
5,2589
5,6112
5,14266
5,15778
5,26903
5,33058
5,34618
5,38640
5,39087
5,44624
6,9183
6,37457
7,1360
7,12554
7,20799
7,32444
7,36720
8,12612
8,18254
8,23980
8,24118
8,35261
8,36475
8,40429
9,95
9,206
9,328
9,949
9,1018
9,1121
9,1852
9,2273
9,2509
9,2546
9,2805
9,3967
9,4023
9,4541
9,5157
9,5449
9,5639
9,5739
9,6088
9,6373
9,6859
9,6933
9,7163
9,7280
9,7312
9,7331
9,7513
9,7546
9,7614
9,7921
9,8195
9,8469
9,9502
9,9911
9,10165
9,10360
9,10520
9,10617
9,10903
9,11007
9,11420
9,11500
9,11606
9,11864
9,12270
9,12322
9,12544
9,12562
9,13056
9,13546
9,13658
9,13677
9,13837
9,14307
9,14568
9,15186
9,15247
9,15455
9,15615
9,16236
9,16652
9,16823
9,16895
9,17319
9,18115
9,18672
9,18977
9,19348
9,20271
9,20799
9,20953
9,21120
9,21144
9,21975
9,22708
9,22852
9,22889
9,23924
9,24958
9,25051
9,25606
9,25912
9,26277
9,26298
9,26834
9,26931
9,27138
9,27280
9,27351
9,28232
9,28348
9,29033
9,29583
9,30465
9,30505
9,30506
9,30716
9,30752
9,31149
9,31227
9,31480
9,32152
9,32444
9,33073
9,33157
9,33511
9,33674
9,33978
9,33988
9,34156
9,34488
9,35241
9,35314
9,35387
9,35519
9,35880
9,35903
9,36245
9,36720
9,36758
9,36999
9,37122
9,37507
9,37741
9,37744
9,38809
9,38811
9,38981
9,39095
9,39102
9,39916
9,39945
9,40098
9,40555
9,40937
9,41442
9,41737
9,41828
9,42098
9,42512
9,42898
9,43509
9,43884
